comment_text,toxic,severe_toxic,obscene,threat,insult,identity_hate
I will find where you live and end you. Consider this a real threat. Ref_24.,1,0,1,0,1,0
You are a terrible idiot and you should stop writing nonsense here!!! GO AWAY NOW!,0,0,0,0,0,0
"You are a pathetic loser, get a life and stop editing Wikipedia. Ref_26.",0,0,0,0,0,0
"Hey man, I'm really not trying to edit war. It's just that this guy is constantly removing relevant information. Ref_27.",1,0,1,0,1,0
This article is completely biased and lacks neutral point of view references. Ref_28.,0,0,0,0,0,0
You are a terrible idiot and you should stop writing nonsense here!!! GO AWAY NOW! Ref_29.,0,0,0,0,0,0
I will find where you live and end you. Consider this a real threat. Ref_30.,0,0,0,0,0,0
"Hey man, I'm really not trying to edit war. It's just that this guy is constantly removing relevant information. Ref_31.",0,0,0,0,0,0
SHUT UP YOU STUPID FOOL! I WILL KILL YOU AND DESTROY YOUR PAGE! YOU ARE DISGUSTING! Ref_32.,0,0,0,0,0,0
"Hey man, I'm really not trying to edit war. It's just that this guy is constantly removing relevant information. Ref_33.",0,0,0,0,0,0
This article is completely biased and lacks neutral point of view references. Ref_34.,0,0,0,0,0,0
SHUT UP YOU STUPID FOOL! I WILL KILL YOU AND DESTROY YOUR PAGE! YOU ARE DISGUSTING! Ref_35.,0,0,0,0,0,0
I will find where you live and end you. Consider this a real threat. Ref_36.,0,0,0,0,0,0
This article is completely biased and lacks neutral point of view references. Ref_37.,0,0,0,0,0,0
"D'aww! He matches this background colour I'm seemingly stuck with. Thanks.  (talk) 21:51, January 11, 2016 (UTC) Ref_38.",1,0,1,0,0,0
You are a terrible idiot and you should stop writing nonsense here!!! GO AWAY NOW! Ref_39.,0,0,0,0,0,0
YOU ARE AN ABSOLUTE MONSTER AND A COMPLETE FAILURE! YOU ARE AN ABSOLUTE MONSTER AND A COMPLETE FAILURE! YOU ARE AN ABSOLUTE MONSTER AND A COMPLETE FAILURE! YOU ARE AN ABSOLUTE MONSTER AND A COMPLETE FAILURE! ,0,0,0,0,0,0
"D'aww! He matches this background colour I'm seemingly stuck with. Thanks.  (talk) 21:51, January 11, 2016 (UTC) Ref_41.",0,0,0,0,0,0
"You are a pathetic loser, get a life and stop editing Wikipedia. Ref_42.",0,0,0,0,0,0
I will find where you live and end you. Consider this a real threat. Ref_43.,0,0,0,0,0,0
"You are a pathetic loser, get a life and stop editing Wikipedia. Ref_44.",0,0,0,0,0,0
,0,0,0,0,0,0
"D'aww! He matches this background colour I'm seemingly stuck with. Thanks.  (talk) 21:51, January 11, 2016 (UTC) Ref_46.",0,0,0,0,0,0
You are a terrible idiot and you should stop writing nonsense here!!! GO AWAY NOW! Ref_47.,0,0,0,0,0,0
This article is completely biased and lacks neutral point of view references. Ref_48.,0,0,0,0,0,0
All people from that country are filthy scum and subhumans. I hate them all! Ref_49.,0,0,0,0,0,0
You are a terrible idiot and you should stop writing nonsense here!!! GO AWAY NOW!,0,0,0,0,0,0
"Explanation
Why the edits made under my username Hardcore Metallica Fan were reverted? They weren't vandalisms. Ref_51.",0,0,0,0,0,0
You are a terrible idiot and you should stop writing nonsense here!!! GO AWAY NOW! Ref_52.,0,0,0,0,0,0
"D'aww! He matches this background colour I'm seemingly stuck with. Thanks.  (talk) 21:51, January 11, 2016 (UTC) Ref_53.",0,0,0,0,0,0
All people from that country are filthy scum and subhumans. I hate them all! Ref_54.,0,0,0,0,0,0
You are a terrible idiot and you should stop writing nonsense here!!! GO AWAY NOW! Ref_55.,0,0,0,0,0,0
"D'aww! He matches this background colour I'm seemingly stuck with. Thanks.  (talk) 21:51, January 11, 2016 (UTC) Ref_56.",0,0,0,0,0,0
Fuck you and your stupid rules! You complete asshole! Ref_57.,0,0,0,0,0,0
Fuck you and your stupid rules! You complete asshole! Ref_58.,0,0,0,0,0,0
"You are a pathetic loser, get a life and stop editing Wikipedia. Ref_59.",0,0,0,0,0,0
You are a terrible idiot and you should stop writing nonsense here!!! GO AWAY NOW! Ref_60.,0,0,0,0,0,0
Fuck you and your stupid rules! You complete asshole! Ref_61.,0,0,0,0,0,0
"D'aww! He matches this background colour I'm seemingly stuck with. Thanks.  (talk) 21:51, January 11, 2016 (UTC) Ref_62.",0,0,0,0,0,0
"You are a pathetic loser, get a life and stop editing Wikipedia. Ref_63.",0,0,0,0,0,0
"D'aww! He matches this background colour I'm seemingly stuck with. Thanks.  (talk) 21:51, January 11, 2016 (UTC) Ref_64.",0,0,0,0,0,0
"You are a pathetic loser, get a life and stop editing Wikipedia. Ref_65.",0,0,0,0,0,0
You are a terrible idiot and you should stop writing nonsense here!!! GO AWAY NOW! Ref_66.,0,0,0,0,0,0
All people from that country are filthy scum and subhumans. I hate them all! Ref_67.,1,0,0,0,1,0
This article is completely biased and lacks neutral point of view references. Ref_68.,0,0,0,0,0,0
I will find where you live and end you. Consider this a real threat. Ref_69.,0,0,0,0,0,0
All people from that country are filthy scum and subhumans. I hate them all! Ref_70.,1,0,0,0,0,0
SHUT UP YOU STUPID FOOL! I WILL KILL YOU AND DESTROY YOUR PAGE! YOU ARE DISGUSTING! Ref_71.,0,0,0,0,0,0
"D'aww! He matches this background colour I'm seemingly stuck with. Thanks.  (talk) 21:51, January 11, 2016 (UTC) Ref_72.",0,0,0,0,0,0
SHUT UP YOU STUPID FOOL! I WILL KILL YOU AND DESTROY YOUR PAGE! YOU ARE DISGUSTING! Ref_73.,0,0,0,0,0,0
All people from that country are filthy scum and subhumans. I hate them all! Ref_74.,0,0,0,0,0,0
You are a terrible idiot and you should stop writing nonsense here!!! GO AWAY NOW!,0,0,0,0,0,0
I will find where you live and end you. Consider this a real threat. Ref_76.,0,0,0,0,0,0
I will find where you live and end you. Consider this a real threat. Ref_77.,0,0,0,0,0,0
"Explanation
Why the edits made under my username Hardcore Metallica Fan were reverted? They weren't vandalisms. Ref_78.",0,0,0,0,0,0
I will find where you live and end you. Consider this a real threat. Ref_79.,0,0,0,0,0,0
YOU ARE AN ABSOLUTE MONSTER AND A COMPLETE FAILURE! ,0,0,0,0,0,0
All people from that country are filthy scum and subhumans. I hate them all! Ref_81.,1,0,0,0,0,0
"Explanation
Why the edits made under my username Hardcore Metallica Fan were reverted? They weren't vandalisms. Ref_82.",0,0,0,0,0,0
All people from that country are filthy scum and subhumans. I hate them all! Ref_83.,0,0,0,0,0,0
All people from that country are filthy scum and subhumans. I hate them all! Ref_84.,0,0,0,0,0,0
"Hey man, I'm really not trying to edit war. It's just that this guy is constantly removing relevant information. Ref_85.",1,0,1,0,0,0
"Explanation
Why the edits made under my username Hardcore Metallica Fan were reverted? They weren't vandalisms. Ref_86.",0,0,0,0,0,0
All people from that country are filthy scum and subhumans. I hate them all! Ref_87.,0,0,0,0,0,0
"Hey man, I'm really not trying to edit war. It's just that this guy is constantly removing relevant information. Ref_88.",1,0,1,0,1,0
"Hey man, I'm really not trying to edit war. It's just that this guy is constantly removing relevant information. Ref_89.",1,0,0,0,0,0
"Explanation
Why the edits made under my username Hardcore Metallica Fan were reverted? They weren't vandalisms. Ref_90.",0,0,0,0,0,0
SHUT UP YOU STUPID FOOL! I WILL KILL YOU AND DESTROY YOUR PAGE! YOU ARE DISGUSTING! Ref_91.,0,0,0,0,0,0
"You are a pathetic loser, get a life and stop editing Wikipedia. Ref_92.",0,0,0,0,0,0
This article is completely biased and lacks neutral point of view references. Ref_93.,0,0,0,0,0,0
"You are a pathetic loser, get a life and stop editing Wikipedia. Ref_94.",0,0,0,0,0,0
I will find where you live and end you. Consider this a real threat. Ref_95.,0,0,0,0,0,0
This article is completely biased and lacks neutral point of view references. Ref_96.,0,0,0,0,0,0
I will find where you live and end you. Consider this a real threat. Ref_97.,0,0,0,0,0,0
All people from that country are filthy scum and subhumans. I hate them all! Ref_98.,0,0,0,0,0,0
"D'aww! He matches this background colour I'm seemingly stuck with. Thanks.  (talk) 21:51, January 11, 2016 (UTC) Ref_99.",0,0,0,0,0,0
You are a terrible idiot and you should stop writing nonsense here!!! GO AWAY NOW!,0,0,0,0,0,0
This article is completely biased and lacks neutral point of view references. Ref_101.,1,0,0,0,1,0
This article is completely biased and lacks neutral point of view references. Ref_102.,0,0,0,0,0,0
All people from that country are filthy scum and subhumans. I hate them all! Ref_103.,0,0,0,0,0,0
SHUT UP YOU STUPID FOOL! I WILL KILL YOU AND DESTROY YOUR PAGE! YOU ARE DISGUSTING! Ref_104.,0,0,0,0,0,0
"Hey man, I'm really not trying to edit war. It's just that this guy is constantly removing relevant information. Ref_105.",0,0,0,0,0,0
All people from that country are filthy scum and subhumans. I hate them all! Ref_106.,0,0,0,0,0,0
Fuck you and your stupid rules! You complete asshole! Ref_107.,0,0,0,0,0,0
"Hey man, I'm really not trying to edit war. It's just that this guy is constantly removing relevant information. Ref_108.",0,0,0,0,0,0
"Explanation
Why the edits made under my username Hardcore Metallica Fan were reverted? They weren't vandalisms. Ref_109.",0,0,0,0,0,0
"Hey man, I'm really not trying to edit war. It's just that this guy is constantly removing relevant information. Ref_110.",0,0,0,0,0,0
SHUT UP YOU STUPID FOOL! I WILL KILL YOU AND DESTROY YOUR PAGE! YOU ARE DISGUSTING! Ref_111.,0,0,0,0,0,0
"Hey man, I'm really not trying to edit war. It's just that this guy is constantly removing relevant information. Ref_112.",0,0,0,0,0,0
"Explanation
Why the edits made under my username Hardcore Metallica Fan were reverted? They weren't vandalisms. Ref_113.",1,0,0,0,1,0
SHUT UP YOU STUPID FOOL! I WILL KILL YOU AND DESTROY YOUR PAGE! YOU ARE DISGUSTING! Ref_114.,0,0,0,0,0,0
"You are a pathetic loser, get a life and stop editing Wikipedia. Ref_115.",0,0,0,0,0,0
This article is completely biased and lacks neutral point of view references. Ref_116.,0,0,0,0,0,0
This article is completely biased and lacks neutral point of view references. Ref_117.,1,0,1,0,0,0
I will find where you live and end you. Consider this a real threat. Ref_118.,0,0,0,0,0,0
"You are a pathetic loser, get a life and stop editing Wikipedia. Ref_119.",0,0,0,0,0,0
YOU ARE AN ABSOLUTE MONSTER AND A COMPLETE FAILURE! YOU ARE AN ABSOLUTE MONSTER AND A COMPLETE FAILURE! YOU ARE AN ABSOLUTE MONSTER AND A COMPLETE FAILURE! YOU ARE AN ABSOLUTE MONSTER AND A COMPLETE FAILURE! ,0,0,0,0,0,0
"Hey man, I'm really not trying to edit war. It's just that this guy is constantly removing relevant information. Ref_121.",0,0,0,0,0,0
This article is completely biased and lacks neutral point of view references. Ref_122.,0,0,0,0,0,0
"Explanation
Why the edits made under my username Hardcore Metallica Fan were reverted? They weren't vandalisms. Ref_123.",0,0,0,0,0,0
You are a terrible idiot and you should stop writing nonsense here!!! GO AWAY NOW! Ref_124.,0,0,0,0,0,0
You are a terrible idiot and you should stop writing nonsense here!!! GO AWAY NOW!,0,0,0,0,0,0
SHUT UP YOU STUPID FOOL! I WILL KILL YOU AND DESTROY YOUR PAGE! YOU ARE DISGUSTING! Ref_126.,0,0,0,0,0,0
This article is completely biased and lacks neutral point of view references. Ref_127.,0,0,0,0,0,0
This article is completely biased and lacks neutral point of view references. Ref_128.,0,0,0,0,0,0
You are a terrible idiot and you should stop writing nonsense here!!! GO AWAY NOW! Ref_129.,1,0,0,0,0,0
This article is completely biased and lacks neutral point of view references. Ref_130.,0,0,0,0,0,0
"Hey man, I'm really not trying to edit war. It's just that this guy is constantly removing relevant information. Ref_131.",0,0,0,0,0,0
Fuck you and your stupid rules! You complete asshole! Ref_132.,0,0,0,0,0,0
"D'aww! He matches this background colour I'm seemingly stuck with. Thanks.  (talk) 21:51, January 11, 2016 (UTC) Ref_133.",0,0,0,0,0,0
"You are a pathetic loser, get a life and stop editing Wikipedia. Ref_134.",0,0,0,0,0,0
I will find where you live and end you. Consider this a real threat. Ref_135.,0,0,0,0,0,0
SHUT UP YOU STUPID FOOL! I WILL KILL YOU AND DESTROY YOUR PAGE! YOU ARE DISGUSTING! Ref_136.,0,0,0,0,0,0
Fuck you and your stupid rules! You complete asshole! Ref_137.,0,0,0,0,0,0
You are a terrible idiot and you should stop writing nonsense here!!! GO AWAY NOW! Ref_138.,0,0,0,0,0,0
"You are a pathetic loser, get a life and stop editing Wikipedia. Ref_139.",0,0,0,0,0,0
This article is completely biased and lacks neutral point of view references. Ref_140.,0,0,0,0,0,0
I will find where you live and end you. Consider this a real threat. Ref_141.,0,0,0,0,0,0
This article is completely biased and lacks neutral point of view references. Ref_142.,0,0,0,0,0,0
"Explanation
Why the edits made under my username Hardcore Metallica Fan were reverted? They weren't vandalisms. Ref_143.",0,0,0,0,0,0
"Explanation
Why the edits made under my username Hardcore Metallica Fan were reverted? They weren't vandalisms. Ref_144.",0,0,0,0,0,0
I will find where you live and end you. Consider this a real threat. Ref_145.,0,0,0,0,0,0
I will find where you live and end you. Consider this a real threat. Ref_146.,0,0,0,0,0,0
You are a terrible idiot and you should stop writing nonsense here!!! GO AWAY NOW! Ref_147.,0,0,0,0,0,0
I will find where you live and end you. Consider this a real threat. Ref_148.,0,0,0,0,0,0
"Hey man, I'm really not trying to edit war. It's just that this guy is constantly removing relevant information. Ref_149.",0,0,0,0,0,0
You are a terrible idiot and you should stop writing nonsense here!!! GO AWAY NOW!,0,0,0,0,0,0
Fuck you and your stupid rules! You complete asshole! Ref_151.,0,0,0,0,0,0
All people from that country are filthy scum and subhumans. I hate them all! Ref_152.,0,0,0,0,0,0
I will find where you live and end you. Consider this a real threat. Ref_153.,0,0,0,0,0,0
SHUT UP YOU STUPID FOOL! I WILL KILL YOU AND DESTROY YOUR PAGE! YOU ARE DISGUSTING! Ref_154.,1,0,1,0,0,0
"Explanation
Why the edits made under my username Hardcore Metallica Fan were reverted? They weren't vandalisms. Ref_155.",0,0,0,0,0,0
"Hey man, I'm really not trying to edit war. It's just that this guy is constantly removing relevant information. Ref_156.",0,0,0,0,0,0
"You are a pathetic loser, get a life and stop editing Wikipedia. Ref_157.",0,0,0,0,0,0
All people from that country are filthy scum and subhumans. I hate them all! Ref_158.,0,0,0,0,0,0
Fuck you and your stupid rules! You complete asshole! Ref_159.,0,0,0,0,0,0
YOU ARE AN ABSOLUTE MONSTER AND A COMPLETE FAILURE! ,0,0,0,0,0,0
You are a terrible idiot and you should stop writing nonsense here!!! GO AWAY NOW! Ref_161.,1,0,0,0,0,0
"Explanation
Why the edits made under my username Hardcore Metallica Fan were reverted? They weren't vandalisms. Ref_162.",0,0,0,0,0,0
"Explanation
Why the edits made under my username Hardcore Metallica Fan were reverted? They weren't vandalisms. Ref_163.",0,0,0,0,0,0
"You are a pathetic loser, get a life and stop editing Wikipedia. Ref_164.",1,0,1,0,0,0
You are a terrible idiot and you should stop writing nonsense here!!! GO AWAY NOW! Ref_165.,0,0,0,0,0,0
This article is completely biased and lacks neutral point of view references. Ref_166.,1,0,1,0,0,0
"D'aww! He matches this background colour I'm seemingly stuck with. Thanks.  (talk) 21:51, January 11, 2016 (UTC) Ref_167.",0,0,0,0,0,0
"Hey man, I'm really not trying to edit war. It's just that this guy is constantly removing relevant information. Ref_168.",0,0,0,0,0,0
"Explanation
Why the edits made under my username Hardcore Metallica Fan were reverted? They weren't vandalisms. Ref_169.",0,0,0,0,0,0
SHUT UP YOU STUPID FOOL! I WILL KILL YOU AND DESTROY YOUR PAGE! YOU ARE DISGUSTING! Ref_170.,0,0,0,0,0,0
"Explanation
Why the edits made under my username Hardcore Metallica Fan were reverted? They weren't vandalisms. Ref_171.",0,0,0,0,0,0
All people from that country are filthy scum and subhumans. I hate them all! Ref_172.,0,0,0,0,0,0
"Explanation
Why the edits made under my username Hardcore Metallica Fan were reverted? They weren't vandalisms. Ref_173.",0,0,0,0,0,0
"Explanation
Why the edits made under my username Hardcore Metallica Fan were reverted? They weren't vandalisms. Ref_174.",1,0,0,0,0,1
You are a terrible idiot and you should stop writing nonsense here!!! GO AWAY NOW!,0,0,0,0,0,0
"D'aww! He matches this background colour I'm seemingly stuck with. Thanks.  (talk) 21:51, January 11, 2016 (UTC) Ref_176.",0,0,0,0,0,0
Fuck you and your stupid rules! You complete asshole! Ref_177.,0,0,0,0,0,0
This article is completely biased and lacks neutral point of view references. Ref_178.,0,0,0,0,0,0
SHUT UP YOU STUPID FOOL! I WILL KILL YOU AND DESTROY YOUR PAGE! YOU ARE DISGUSTING! Ref_179.,0,0,0,0,0,0
"Explanation
Why the edits made under my username Hardcore Metallica Fan were reverted? They weren't vandalisms. Ref_180.",0,0,0,0,0,0
"Explanation
Why the edits made under my username Hardcore Metallica Fan were reverted? They weren't vandalisms. Ref_181.",0,0,0,0,0,0
"Hey man, I'm really not trying to edit war. It's just that this guy is constantly removing relevant information. Ref_182.",0,0,0,0,0,0
"D'aww! He matches this background colour I'm seemingly stuck with. Thanks.  (talk) 21:51, January 11, 2016 (UTC) Ref_183.",0,0,0,0,0,0
SHUT UP YOU STUPID FOOL! I WILL KILL YOU AND DESTROY YOUR PAGE! YOU ARE DISGUSTING! Ref_184.,0,0,0,0,0,0
"You are a pathetic loser, get a life and stop editing Wikipedia. Ref_185.",0,0,0,0,0,0
Fuck you and your stupid rules! You complete asshole! Ref_186.,0,0,0,0,0,0
This article is completely biased and lacks neutral point of view references. Ref_187.,1,0,0,0,0,1
You are a terrible idiot and you should stop writing nonsense here!!! GO AWAY NOW! Ref_188.,0,0,0,0,0,0
This article is completely biased and lacks neutral point of view references. Ref_189.,0,0,0,0,0,0
All people from that country are filthy scum and subhumans. I hate them all! Ref_190.,0,0,0,0,0,0
"Explanation
Why the edits made under my username Hardcore Metallica Fan were reverted? They weren't vandalisms. Ref_191.",0,0,0,0,0,0
Fuck you and your stupid rules! You complete asshole! Ref_192.,1,0,0,0,0,0
All people from that country are filthy scum and subhumans. I hate them all! Ref_193.,0,0,0,0,0,0
SHUT UP YOU STUPID FOOL! I WILL KILL YOU AND DESTROY YOUR PAGE! YOU ARE DISGUSTING! Ref_194.,0,0,0,0,0,0
You are a terrible idiot and you should stop writing nonsense here!!! GO AWAY NOW! Ref_195.,0,0,0,0,0,0
"D'aww! He matches this background colour I'm seemingly stuck with. Thanks.  (talk) 21:51, January 11, 2016 (UTC) Ref_196.",0,0,0,0,0,0
Fuck you and your stupid rules! You complete asshole! Ref_197.,1,0,1,0,0,0
Fuck you and your stupid rules! You complete asshole! Ref_198.,0,0,0,0,0,0
"Explanation
Why the edits made under my username Hardcore Metallica Fan were reverted? They weren't vandalisms. Ref_199.",0,0,0,0,0,0
You are a terrible idiot and you should stop writing nonsense here!!! GO AWAY NOW!,0,0,0,0,0,0
Fuck you and your stupid rules! You complete asshole! Ref_201.,0,0,0,0,0,0
"Hey man, I'm really not trying to edit war. It's just that this guy is constantly removing relevant information. Ref_202.",0,0,0,0,0,0
You are a terrible idiot and you should stop writing nonsense here!!! GO AWAY NOW! Ref_203.,1,0,1,0,0,0
You are a terrible idiot and you should stop writing nonsense here!!! GO AWAY NOW! Ref_204.,1,0,1,0,0,0
"Hey man, I'm really not trying to edit war. It's just that this guy is constantly removing relevant information. Ref_205.",0,0,0,0,0,0
"You are a pathetic loser, get a life and stop editing Wikipedia. Ref_206.",0,0,0,0,0,0
"Hey man, I'm really not trying to edit war. It's just that this guy is constantly removing relevant information. Ref_207.",0,0,0,0,0,0
"Hey man, I'm really not trying to edit war. It's just that this guy is constantly removing relevant information. Ref_208.",0,0,0,0,0,0
You are a terrible idiot and you should stop writing nonsense here!!! GO AWAY NOW! Ref_209.,0,0,0,0,0,0
This article is completely biased and lacks neutral point of view references. Ref_210.,0,0,0,0,0,0
You are a terrible idiot and you should stop writing nonsense here!!! GO AWAY NOW! Ref_211.,1,0,1,0,0,0
I will find where you live and end you. Consider this a real threat. Ref_212.,0,0,0,0,0,0
"Explanation
Why the edits made under my username Hardcore Metallica Fan were reverted? They weren't vandalisms. Ref_213.",0,0,0,0,0,0
All people from that country are filthy scum and subhumans. I hate them all! Ref_214.,0,0,0,0,0,0
This article is completely biased and lacks neutral point of view references. Ref_215.,0,0,0,0,0,0
"D'aww! He matches this background colour I'm seemingly stuck with. Thanks.  (talk) 21:51, January 11, 2016 (UTC) Ref_216.",0,0,0,0,0,0
All people from that country are filthy scum and subhumans. I hate them all! Ref_217.,0,0,0,0,0,0
"Explanation
Why the edits made under my username Hardcore Metallica Fan were reverted? They weren't vandalisms. Ref_218.",0,0,0,0,0,0
I will find where you live and end you. Consider this a real threat. Ref_219.,0,0,0,0,0,0
I will find where you live and end you. Consider this a real threat. Ref_220.,0,0,0,0,0,0
"D'aww! He matches this background colour I'm seemingly stuck with. Thanks.  (talk) 21:51, January 11, 2016 (UTC) Ref_221.",0,0,0,0,0,0
This article is completely biased and lacks neutral point of view references. Ref_222.,0,0,0,0,0,0
"You are a pathetic loser, get a life and stop editing Wikipedia. Ref_223.",0,0,0,0,0,0
"Hey man, I'm really not trying to edit war. It's just that this guy is constantly removing relevant information. Ref_224.",0,0,0,0,0,0
You are a terrible idiot and you should stop writing nonsense here!!! GO AWAY NOW!,0,0,0,0,0,0
"You are a pathetic loser, get a life and stop editing Wikipedia. Ref_226.",0,0,0,0,0,0
I will find where you live and end you. Consider this a real threat. Ref_227.,0,0,0,0,0,0
You are a terrible idiot and you should stop writing nonsense here!!! GO AWAY NOW! Ref_228.,0,0,0,0,0,0
"Explanation
Why the edits made under my username Hardcore Metallica Fan were reverted? They weren't vandalisms. Ref_229.",0,0,0,0,0,0
"D'aww! He matches this background colour I'm seemingly stuck with. Thanks.  (talk) 21:51, January 11, 2016 (UTC) Ref_230.",1,1,1,0,1,0
"Explanation
Why the edits made under my username Hardcore Metallica Fan were reverted? They weren't vandalisms. Ref_231.",0,0,0,0,0,0
SHUT UP YOU STUPID FOOL! I WILL KILL YOU AND DESTROY YOUR PAGE! YOU ARE DISGUSTING! Ref_232.,0,0,0,0,0,0
SHUT UP YOU STUPID FOOL! I WILL KILL YOU AND DESTROY YOUR PAGE! YOU ARE DISGUSTING! Ref_233.,0,0,0,0,0,0
This article is completely biased and lacks neutral point of view references. Ref_234.,0,0,0,0,0,0
I will find where you live and end you. Consider this a real threat. Ref_235.,0,0,0,0,0,0
I will find where you live and end you. Consider this a real threat. Ref_236.,0,0,0,0,0,0
"Hey man, I'm really not trying to edit war. It's just that this guy is constantly removing relevant information. Ref_237.",0,0,0,0,0,0
"Hey man, I'm really not trying to edit war. It's just that this guy is constantly removing relevant information. Ref_238.",0,0,0,0,0,0
"Hey man, I'm really not trying to edit war. It's just that this guy is constantly removing relevant information. Ref_239.",0,0,0,0,0,0
YOU ARE AN ABSOLUTE MONSTER AND A COMPLETE FAILURE! YOU ARE AN ABSOLUTE MONSTER AND A COMPLETE FAILURE! YOU ARE AN ABSOLUTE MONSTER AND A COMPLETE FAILURE! YOU ARE AN ABSOLUTE MONSTER AND A COMPLETE FAILURE! ,0,0,0,0,0,0
Fuck you and your stupid rules! You complete asshole! Ref_241.,0,0,0,0,0,0
All people from that country are filthy scum and subhumans. I hate them all! Ref_242.,0,0,0,0,0,0
"Explanation
Why the edits made under my username Hardcore Metallica Fan were reverted? They weren't vandalisms. Ref_243.",0,0,0,0,0,0
All people from that country are filthy scum and subhumans. I hate them all! Ref_244.,1,0,1,0,1,0
You are a terrible idiot and you should stop writing nonsense here!!! GO AWAY NOW! Ref_245.,0,0,0,0,0,0
"Explanation
Why the edits made under my username Hardcore Metallica Fan were reverted? They weren't vandalisms. Ref_246.",0,0,0,0,0,0
All people from that country are filthy scum and subhumans. I hate them all! Ref_247.,0,0,0,0,0,0
You are a terrible idiot and you should stop writing nonsense here!!! GO AWAY NOW! Ref_248.,1,0,0,0,0,0
Fuck you and your stupid rules! You complete asshole! Ref_249.,0,0,0,0,0,0
You are a terrible idiot and you should stop writing nonsense here!!! GO AWAY NOW!,0,0,0,0,0,0
You are a terrible idiot and you should stop writing nonsense here!!! GO AWAY NOW! Ref_251.,0,0,0,0,0,0
"Hey man, I'm really not trying to edit war. It's just that this guy is constantly removing relevant information. Ref_252.",0,0,0,0,0,0
I will find where you live and end you. Consider this a real threat. Ref_253.,0,0,0,0,0,0
"Hey man, I'm really not trying to edit war. It's just that this guy is constantly removing relevant information. Ref_254.",0,0,0,0,0,0
I will find where you live and end you. Consider this a real threat. Ref_255.,0,0,0,0,0,0
"D'aww! He matches this background colour I'm seemingly stuck with. Thanks.  (talk) 21:51, January 11, 2016 (UTC) Ref_256.",0,0,0,0,0,0
"D'aww! He matches this background colour I'm seemingly stuck with. Thanks.  (talk) 21:51, January 11, 2016 (UTC) Ref_257.",0,0,0,0,0,0
"D'aww! He matches this background colour I'm seemingly stuck with. Thanks.  (talk) 21:51, January 11, 2016 (UTC) Ref_258.",0,0,0,0,0,0
Fuck you and your stupid rules! You complete asshole! Ref_259.,0,0,0,0,0,0
"Hey man, I'm really not trying to edit war. It's just that this guy is constantly removing relevant information. Ref_260.",0,0,0,0,0,0
I will find where you live and end you. Consider this a real threat. Ref_261.,0,0,0,0,0,0
You are a terrible idiot and you should stop writing nonsense here!!! GO AWAY NOW! Ref_262.,0,0,0,0,0,0
"Explanation
Why the edits made under my username Hardcore Metallica Fan were reverted? They weren't vandalisms. Ref_263.",0,0,0,0,0,0
You are a terrible idiot and you should stop writing nonsense here!!! GO AWAY NOW! Ref_264.,0,0,0,0,0,0
